staff_id,name,designation,unit_id,joining_date
S1,Sean Jordan,Doctor,U16,2018-03-14
S2,Mary Foster,Doctor,U5,2019-03-12
S3,Monica Bryan,Doctor,U4,2024-04-30
S4,Sara Wolf,Nurse,U9,2021-04-17
S5,Douglas Keith,Resident,U10,2024-06-16
S6,Anna Collins,Nurse,U14,2020-11-12
S7,Joseph Orozco,Nurse,U10,2023-01-28
S8,Dr. Randy Lawson DDS,Resident,U16,2020-07-03
S9,Sabrina Valentine,Nurse,U1,2020-06-11
S10,Jodi Short,Doctor,U13,2021-10-18
S11,Linda Bond,Doctor,U19,2021-09-14
S12,Russell Carson,Resident,U1,2017-03-16
S13,Summer Johnson,Nurse,U9,2023-05-11
S14,Kevin Cox,Doctor,U12,2020-06-21
S15,Mackenzie Wilson,Doctor,U10,2015-08-25
S16,Lisa Walker,Nurse,U20,2023-07-30
S17,Toni Ortiz,Nurse,U6,2019-02-02
S18,Colleen Jordan,Nurse,U9,2021-09-22
S19,Melissa Williams,Consultant,U14,2020-02-23
S20,Scott Lutz,Doctor,U18,2023-04-03
S21,Susan Johnson,Nurse,U18,2024-03-31
S22,Brenda Cannon,Nurse,U4,2016-02-29
S23,Ashley Brown,Nurse,U5,2018-02-19
S24,Danielle Rodriguez,Doctor,U12,2022-05-24
S25,Nicholas Ellis,Nurse,U10,2023-01-19
S26,Anna Guerrero,Resident,U20,2023-02-19
S27,Rhonda Boyd,Nurse,U7,2024-07-09
S28,Brandon Fields,Doctor,U5,2023-01-01
S29,Jessica Pena,Nurse,U3,2020-07-17
S30,Kenneth Osborne,Resident,U17,2019-03-03
S31,Clifford Copeland,Consultant,U1,2018-10-11
S32,Yvette Chapman,Nurse,U14,2016-06-27
S33,Stephanie Olson,Consultant,U12,2016-02-11
S34,Heather Mclaughlin,Consultant,U9,2020-04-20
S35,Mary Green,Nurse,U9,2018-10-12
S36,Greg Owens,Doctor,U5,2022-05-13
S37,Eric Bailey,Doctor,U9,2020-10-07
S38,Jennifer Williams,Nurse,U5,2023-06-14
S39,Daniel Ruiz,Resident,U1,2018-05-10
S40,Marvin Cole,Resident,U7,2024-06-04
S41,Brett Johnson,Consultant,U11,2022-12-31
S42,Theodore Brown,Consultant,U20,2017-12-31
S43,Suzanne Smith,Doctor,U8,2020-03-06
S44,Lisa Johnson,Doctor,U15,2019-01-29
S45,Amanda Scott,Resident,U3,2018-12-16
S46,Cheryl Jones,Doctor,U17,2020-08-09
S47,Roberto Anderson,Nurse,U11,2018-02-21
S48,Jonathan Lynn,Nurse,U3,2020-08-24
S49,Lindsey Jones,Nurse,U10,2019-05-16
S50,Maria Lee,Doctor,U13,2016-11-30
S51,Clayton Ashley,Doctor,U9,2019-07-02
S52,David Vincent,Nurse,U2,2021-06-13
S53,Luke Rodriguez,Consultant,U18,2024-07-01
S54,Paul Hudson,Consultant,U15,2019-10-12
S55,Cheryl Miller,Resident,U19,2016-07-28
S56,Jessica Reed,Consultant,U7,2017-06-16
S57,Jimmy Keller,Consultant,U17,2022-04-11
S58,Joseph Howard,Nurse,U4,2022-01-19
S59,Mr. Stephen Johnson,Nurse,U20,2020-08-21
S60,Randall Coffey,Consultant,U11,2024-02-12
S61,Omar Thompson,Resident,U18,2022-12-25
S62,Kari Little,Consultant,U8,2021-11-30
S63,Lisa Walker,Consultant,U2,2020-05-09
S64,Jack Walker,Resident,U11,2015-11-17
S65,Kathleen Hernandez,Nurse,U4,2022-10-15
S66,Cathy Powell,Resident,U13,2023-08-29
S67,Jennifer Horton,Nurse,U3,2023-03-17
S68,Mrs. Debra Reynolds PhD,Resident,U1,2023-08-02
S69,Jessica Wilkerson,Doctor,U14,2015-08-07
S70,Logan Shah,Consultant,U11,2016-07-27
S71,Amanda Garner,Resident,U15,2022-11-11
S72,Richard Mcdonald,Nurse,U18,2020-09-17
S73,Meredith Martin,Consultant,U20,2016-05-30
S74,Erik Ingram,Doctor,U3,2020-06-24
S75,Charles King,Doctor,U16,2020-04-06
S76,Justin Gonzalez,Resident,U10,2024-03-09
S77,Laura Jones,Doctor,U13,2021-04-15
S78,Curtis Hamilton,Resident,U1,2019-01-28
S79,Dr. William Medina MD,Nurse,U13,2017-03-12
S80,Ronald Smith,Consultant,U10,2017-02-04
S81,Brian Cook,Nurse,U8,2019-02-21
S82,Gary Rodgers,Resident,U20,2020-01-15
S83,Jeffery Fletcher,Doctor,U8,2017-04-05
S84,Connie French,Consultant,U18,2016-08-13
S85,Darius Meyer,Doctor,U4,2018-09-05
S86,Mark Avila,Doctor,U17,2022-05-16
S87,William Williams,Doctor,U12,2023-12-17
S88,Ronald Osborne,Doctor,U12,2015-08-28
S89,Jonathan Williams,Nurse,U18,2017-10-13
S90,Stanley Hall,Resident,U8,2016-02-18
S91,Luis Martin,Doctor,U15,2020-09-29
S92,Tim Swanson,Resident,U13,2019-06-27
S93,Corey Arellano,Doctor,U11,2023-12-26
S94,Elizabeth Vargas,Doctor,U8,2022-10-28
S95,Scott Craig,Doctor,U15,2022-09-13
S96,Brian Ortiz,Nurse,U11,2023-02-02
S97,Amanda Bernard,Resident,U17,2020-04-21
S98,Joshua Warren,Doctor,U17,2018-02-17
S99,Amanda Rodriguez,Doctor,U4,2022-02-25
S100,Thomas Freeman,Nurse,U3,2015-08-29
S101,Christine Tran,Doctor,U10,2016-11-04
S102,Laura Johnson,Consultant,U4,2018-02-01
S103,Barbara Baker,Doctor,U13,2023-07-04
S104,Phillip Lopez,Doctor,U17,2019-09-04
S105,Barry Padilla,Resident,U16,2019-10-26
S106,Joshua Walls,Resident,U3,2017-12-20
S107,Candice Berry,Resident,U9,2015-08-02
S108,Marissa Jackson,Consultant,U11,2018-03-03
S109,Sabrina Whitaker,Doctor,U3,2018-04-27
S110,Daniel Lester,Doctor,U15,2017-02-13
S111,Sean Moon,Doctor,U13,2021-08-28
S112,Beverly Payne,Nurse,U20,2016-11-11
S113,Rebecca Murphy,Consultant,U11,2018-01-04
S114,Tiffany Moreno,Nurse,U1,2016-07-10
S115,Emma Valenzuela,Resident,U19,2022-02-04
S116,Alyssa Smith,Doctor,U6,2018-03-13
S117,Jessica Hull,Doctor,U11,2015-11-10
S118,Wendy Turner,Doctor,U2,2023-06-09
S119,Robert Murphy,Doctor,U16,2017-05-19
S120,Leah Stewart,Doctor,U5,2019-07-17
S121,Kayla Berry,Doctor,U9,2018-01-17
S122,Jennifer York,Doctor,U10,2023-11-14
S123,Cody Avila,Consultant,U5,2016-08-09
S124,Troy Robertson,Resident,U20,2015-11-16
S125,Joseph Ward,Nurse,U5,2017-10-07
S126,Jason George,Doctor,U15,2019-07-25
S127,Jessica Carson,Resident,U16,2020-07-10
S128,Emily Johnston,Resident,U14,2024-01-24
S129,Nancy Meyer,Nurse,U20,2016-09-09
S130,Hailey Hawkins,Consultant,U5,2019-07-14
S131,Joshua Brown,Consultant,U1,2023-04-10
S132,Angela Villanueva,Resident,U20,2021-01-21
S133,Ashley White,Resident,U13,2017-02-05
S134,Samuel Nichols,Resident,U6,2017-03-22
S135,Matthew Mayo,Consultant,U9,2018-06-07
S136,Victoria Conley,Nurse,U10,2020-12-29
S137,Daniel Rose,Consultant,U3,2022-04-10
S138,Hailey Graham,Nurse,U5,2021-06-04
S139,Marie Zimmerman,Doctor,U8,2018-03-12
S140,Briana Thompson,Consultant,U9,2022-02-24
S141,John Moore,Consultant,U2,2021-01-23
S142,Angel Craig,Nurse,U15,2016-10-08
S143,Phillip Lamb,Consultant,U18,2018-08-02
S144,Oscar Jenkins,Doctor,U16,2021-03-20
S145,Sarah Vincent,Nurse,U12,2016-05-11
S146,Kathleen Wells,Consultant,U15,2020-01-05
S147,Michael Sanchez,Consultant,U18,2022-10-19
S148,Morgan Williams,Consultant,U20,2020-04-28
S149,Tiffany Moore,Nurse,U5,2018-03-25
S150,Michele Hunter,Doctor,U8,2021-04-13
S151,Steven Sandoval,Doctor,U5,2015-11-21
S152,Kevin King,Doctor,U12,2016-03-02
S153,Shelley Parker,Consultant,U9,2017-03-29
S154,Eric Martin,Nurse,U4,2019-09-13
S155,Christopher Roberts,Doctor,U6,2022-10-03
S156,Lori Frederick,Doctor,U8,2016-05-03
S157,Elizabeth Gardner,Nurse,U13,2023-06-17
S158,Henry Foster,Nurse,U4,2019-09-08
